Date:	Mon, Mar 17, 2014		
measured by:	Rotem		
			
Time [s]	CPD stream	Light	SPV
379.000000	-712.121000		
379.500000	-712.243000		
380.000000	-712.390000		
380.500000	-712.797000		
381.000000	-712.796000		
381.500000	-712.438000		
382.000000	-711.802000		
382.500000	-709.452000		
383.000000	-710.782000		
383.500000	-711.623000		
384.000000	-712.468000		
384.500000	-712.805000		
385.000000	-713.364000		
385.500000	-713.179000		
386.000000	-713.409000		
386.500000	-713.372000		
387.000000	-713.802000		
387.500000	-713.805000		
388.000000	-713.578000		
388.500000	-713.483000		
389.000000	-713.758000		
389.500000	-713.754000		
390.000000	-713.802000		
390.500000	-714.200000		
391.000000	-714.397000		
391.500000	-714.602000		
392.000000	-715.005000		
392.500000	-715.246000		
393.000000	-715.637000		
393.500000	-716.101000		
394.000000	-716.144000		
394.500000	-715.864000		
395.000000	-716.011000		
395.500000	-716.180000		
396.000000	-716.116000		
396.500000	-716.492000		
397.000000	-716.518000		
397.500000	-716.543000		
398.000000	-716.548000		
398.500000	-716.634000		
399.000000	-716.923000		
399.500000	-717.049000		
400.000000	-717.294000		
400.500000	-717.201000		
401.000000	-717.423000		
401.500000	-717.571000		
402.000000	-717.495000		
402.500000	-717.689000		
403.000000	-717.972000		
403.500000	-718.186000		
404.000000	-718.391000		
404.500000	-718.233000		
405.000000	-718.442000		
405.500000	-718.496000		
406.000000	-718.320000		
406.500000	-718.557000		
407.000000	-719.102000		
407.500000	-719.055000		
408.000000	-719.206000		
408.500000	-719.516000		
409.000000	-719.490000		
409.500000	-719.758000		
410.000000	-719.965000		
410.500000	-720.092000		
411.000000	-719.912000		
411.500000	-720.174000		
412.000000	-720.186000		
412.500000	-720.162000		
413.000000	-720.039000		
413.500000	-720.069000		
414.000000	-719.897000		
414.500000	-720.133000		
415.000000	-720.628000		
415.500000	-720.771000		
416.000000	-721.353000		
416.500000	-721.786000		
417.000000	-721.391000		
417.500000	-721.084000		
418.000000	-720.949000		
418.500000	-721.066000		
419.000000	-721.186000		
419.500000	-721.449000		
420.000000	-722.076000		
420.500000	-722.262000		
421.000000	-722.242000		
421.500000	-722.560000		
422.000000	-722.456000		
422.500000	-722.878000		
423.000000	-722.857000		
423.500000	-722.861000		
424.000000	-722.914000		
424.500000	-722.971000		
425.000000	-723.182000		
425.500000	-723.017000		
426.000000	-723.023000		
426.500000	-723.185000		
427.000000	-723.517000		
427.500000	-723.509000		
428.000000	-723.548000		
428.500000	-723.938000		
429.000000	-723.822000		
429.500000	-723.910000		
430.000000	-724.224000		
430.500000	-724.006000		
431.000000	-724.228000		
431.500000	-724.009000		
432.000000	-724.079000		
432.500000	-724.149000		
433.000000	-724.258000		
433.500000	-724.151000		
434.000000	-724.159000		
434.500000	-724.584000		
435.000000	-724.914000		
435.500000	-724.818000		
436.000000	-724.562000		
436.500000	-724.911000		
437.000000	-724.967000		
437.500000	-724.948000		
438.000000	-725.276000		
438.500000	-725.021000		
439.000000	-725.125000		
439.500000	-725.444000		
